series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	316	144.7029305	13.35485404	GUM	Guam	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	320	-91.2312746	15.00273719	GTM	Guatemala	1	ANNUAL	METONS	8.58	8.99	9.65	9.64	10.24	10.62	10.63	11.47	10.25	11.23	10.32	10.48	10.59	12.22	16.14	11.95	2014	16.14	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	324	-11.28173419	11.00210343	GIN	Guinea	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	328	-58.97322037	4.788012784	GUY	Guyana	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	332	-72.33640958	18.40426539	HTI	Haiti	1	ANNUAL	METONS	1.38	1.51	1.73	1.64	1.89	1.98	2.02	2.32	2.32	2.24	2.09	2.14	2.08	2.17	2.76	2.248	2014	2.76	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	336	12.45315803	41.90343751	VAT	Holy See	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	340	-86.59974381	14.82243161	HND	Honduras	1	ANNUAL	METONS	4.49	5.29	5.62	6.24	7.03	7.16	6.4	8.12	7.88	7.4	7.34	8.38	8.35	8.45	8.75	8.254	2014	8.75	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	ANNUAL	METONS	40.34	41.44	40.12	42.81	40.91	41.33	42.32	44.03	42.85	46.24	41.99	45.64	45.09	46.05	47.94	45.342	2014	47.94	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	348	19.41221519	47.1651448	HUN	Hungary	1	ANNUAL	METONS	53.29	54.93	54.18	56.78	55.07	54.72	54.16	52.52	51.75	46.87	47.57	45.75	42.18	40.58	40.28	43.272	2014	40.28	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	352	-19.02116966	64.79134763	ISL	Iceland	1	ANNUAL	METONS	2.16	2.1	2.2	2.19	2.27	2.23	2.27	2.32	2.12	2.08	1.95	1.87	1.86	2.03	2.04	1.95	2014	2.04	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	356	79.3608464	22.34642074	IND	India	1	ANNUAL	METONS	890.44	905.22	935.56	953.86	1028.27	1079.58	1150.72	1264.78	1345.47	1513.07	1594.26	1673.84	1790.76	1852.46	2019.67	1786.198	2014	2019.67	IEA/OECD CO2 emissions from fuel combustion, 2016	C
